Notes,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Ethnicity,Gender,Gender Code,Year,Year Code,Deaths,Population,Crude Rate
Total,California,6,65-69 years,65-69,Hispanic,,,,,182,2335938,7.79
,California,6,70-74 years,70-74,Hispanic,Male,M,1999,1999,Suppressed,54233,Suppressed
,California,6,70-74 years,70-74,Hispanic,Male,M,2000,2000,12,56491,Unreliable
,California,6,70-74 years,70-74,Hispanic,Male,M,2001,2001,Suppressed,59792,Suppressed
,California,6,70-74 years,70-74,Hispanic,Male,M,2002,2002,Suppressed,61802,Suppressed
,California,6,70-74 years,70-74,Hispanic,Male,M,2003,2003,10,63440,Unreliable
,California,6,70-74 years,70-74,Hispanic,Male,M,2004,2004,13,64987,Unreliable
,California,6,70-74 years,70-74,Hispanic,Male,M,2005,2005,14,66806,Unreliable
,California,6,70-74 years,70-74,Hispanic,Male,M,2006,2006,12,68468,Unreliable
,California,6,70-74 years,70-74,Hispanic,Male,M,2007,2007,15,70854,Unreliable
,California,6,70-74 years,70-74,Hispanic,Male,M,2008,2008,20,74101,26.99
,California,6,70-74 years,70-74,Hispanic,Male,M,2009,2009,15,77858,Unreliable
,California,6,70-74 years,70-74,Hispanic,Male,M,2010,2010,15,80296,Unreliable
,California,6,70-74 years,70-74,Hispanic,Male,M,2011,2011,12,84365,Unreliable
,California,6,70-74 years,70-74,Hispanic,Male,M,2012,2012,27,87920,30.71
,California,6,70-74 years,70-74,Hispanic,Male,M,2013,2013,33,92963,35.5
,California,6,70-74 years,70-74,Hispanic,Male,M,2014,2014,33,98745,33.42
,California,6,70-74 years,70-74,Hispanic,Male,M,2015,2015,37,104998,35.24
,California,6,70-74 years,70-74,Hispanic,Male,M,2016,2016,34,110426,30.79
,California,6,70-74 years,70-74,Hispanic,Male,M,2017,2017,32,119612,26.75
,California,6,70-74 years,70-74,Hispanic,Male,M,2018,2018,42,127658,32.9
Total,California,6,70-74 years,70-74,Hispanic,Male,M,,,397,1625815,24.42
Total,California,6,70-74 years,70-74,Hispanic,,,,,397,1625815,24.42
,California,6,75-79 years,75-79,Hispanic,Male,M,1999,1999,25,36545,68.41
,California,6,75-79 years,75-79,Hispanic,Male,M,2000,2000,13,37976,Unreliable
,California,6,75-79 years,75-79,Hispanic,Male,M,2001,2001,25,41011,60.96
,California,6,75-79 years,75-79,Hispanic,Male,M,2002,2002,13,43085,Unreliable
,California,6,75-79 years,75-79,Hispanic,Male,M,2003,2003,28,44797,62.5
,California,6,75-79 years,75-79,Hispanic,Male,M,2004,2004,17,46607,Unreliable
,California,6,75-79 years,75-79,Hispanic,Male,M,2005,2005,24,49409,48.57
,California,6,75-79 years,75-79,Hispanic,Male,M,2006,2006,24,51147,46.92
